node_id,signature,class_name,method_name,descriptor,external,entrypoint,methodname,accessflags,classname
Lcom/google/gson/internal/$Gson$Types$WildcardTypeImpl; <init> ([Ljava/lang/reflect/Type; [Ljava/lang/reflect/Type;)V,Lcom/google/gson/internal/$Gson$Types$WildcardTypeImpl; <init> ([Ljava/lang/reflect/Type; [Ljava/lang/reflect/Type;)V,,,([Ljava/lang/reflect/Type; [Ljava/lang/reflect/Type;)V,False,False,<init>,public constructor,Lcom/google/gson/internal/$Gson$Types$WildcardTypeImpl;
Lcom/google/gson/internal/$Gson$Types$WildcardTypeImpl; equals (Ljava/lang/Object;)Z,Lcom/google/gson/internal/$Gson$Types$WildcardTypeImpl; equals (Ljava/lang/Object;)Z,,,(Ljava/lang/Object;)Z,False,False,equals,public,Lcom/google/gson/internal/$Gson$Types$WildcardTypeImpl;
Lcom/google/gson/internal/$Gson$Types$WildcardTypeImpl; hashCode ()I,Lcom/google/gson/internal/$Gson$Types$WildcardTypeImpl; hashCode ()I,,,()I,False,False,hashCode,public,Lcom/google/gson/internal/$Gson$Types$WildcardTypeImpl;
Lcom/google/gson/internal/$Gson$Types$WildcardTypeImpl; toString ()Ljava/lang/String;,Lcom/google/gson/internal/$Gson$Types$WildcardTypeImpl; toString ()Ljava/lang/String;,,,()Ljava/lang/String;,False,False,toString,public,Lcom/google/gson/internal/$Gson$Types$WildcardTypeImpl;
Lcom/google/gson/internal/$Gson$Types; <init> ()V,Lcom/google/gson/internal/$Gson$Types; <init> ()V,,,()V,False,False,<init>,private constructor,Lcom/google/gson/internal/$Gson$Types;
Lcom/google/gson/internal/$Gson$Types; arrayOf (Ljava/lang/reflect/Type;)Ljava/lang/reflect/GenericArrayType;,Lcom/google/gson/internal/$Gson$Types; arrayOf (Ljava/lang/reflect/Type;)Ljava/lang/reflect/GenericArrayType;,,,(Ljava/lang/reflect/Type;)Ljava/lang/reflect/GenericArrayType;,False,False,arrayOf,public static,Lcom/google/gson/internal/$Gson$Types;
Ljava/lang/reflect/ParameterizedType; getOwnerType ()Ljava/lang/reflect/Type;,Ljava/lang/reflect/ParameterizedType; getOwnerType ()Ljava/lang/reflect/Type;,,,()Ljava/lang/reflect/Type;,True,False,getOwnerType,,Ljava/lang/reflect/ParameterizedType;
Ljava/lang/reflect/WildcardType; getLowerBounds ()[Ljava/lang/reflect/Type;,Ljava/lang/reflect/WildcardType; getLowerBounds ()[Ljava/lang/reflect/Type;,,,()[Ljava/lang/reflect/Type;,True,False,getLowerBounds,,Ljava/lang/reflect/WildcardType;
Ljava/lang/reflect/ParameterizedType; getActualTypeArguments ()[Ljava/lang/reflect/Type;,Ljava/lang/reflect/ParameterizedType; getActualTypeArguments ()[Ljava/lang/reflect/Type;,,,()[Ljava/lang/reflect/Type;,True,False,getActualTypeArguments,,Ljava/lang/reflect/ParameterizedType;
Ljava/lang/reflect/WildcardType; getUpperBounds ()[Ljava/lang/reflect/Type;,Ljava/lang/reflect/WildcardType; getUpperBounds ()[Ljava/lang/reflect/Type;,,,()[Ljava/lang/reflect/Type;,True,False,getUpperBounds,,Ljava/lang/reflect/WildcardType;
Ljava/lang/reflect/GenericArrayType; getGenericComponentType ()Ljava/lang/reflect/Type;,Ljava/lang/reflect/GenericArrayType; getGenericComponentType ()Ljava/lang/reflect/Type;,,,()Ljava/lang/reflect/Type;,True,False,getGenericComponentType,,Ljava/lang/reflect/GenericArrayType;
Ljava/lang/reflect/ParameterizedType; getRawType ()Ljava/lang/reflect/Type;,Ljava/lang/reflect/ParameterizedType; getRawType ()Ljava/lang/reflect/Type;,,,()Ljava/lang/reflect/Type;,True,False,getRawType,,Ljava/lang/reflect/ParameterizedType;
Ljava/lang/Class; isArray ()Z,Ljava/lang/Class; isArray ()Z,,,()Z,True,False,isArray,,Ljava/lang/Class;
Ljava/lang/Class; isPrimitive ()Z,Ljava/lang/Class; isPrimitive ()Z,,,()Z,True,False,isPrimitive,,Ljava/lang/Class;
Lcom/google/gson/internal/$Gson$Types; declaringClassOf (Ljava/lang/reflect/TypeVariable;)Ljava/lang/Class;,Lcom/google/gson/internal/$Gson$Types; declaringClassOf (Ljava/lang/reflect/TypeVariable;)Ljava/lang/Class;,,,(Ljava/lang/reflect/TypeVariable;)Ljava/lang/Class;,False,False,declaringClassOf,private static,Lcom/google/gson/internal/$Gson$Types;
