node_id,signature,class_dot,method_name,descriptor,external,degree,katz,closeness,harmonic
Lj/b0; <init> (Lv0/n0;)V,Lj/b0; <init> (Lv0/n0;)V,,,(Lv0/n0;)V,False,0.0001838235294117647,0.007815547712491367,0.00012254901960784314,0.00012254901960784314
Lv0/n0; G (Lv0/w;)Z,Lv0/n0; G (Lv0/w;)Z,,,(Lv0/w;)Z,False,0.0006740196078431372,0.007847084542747216,0.000326797385620915,0.0003676470588235294
Lh/h; k ()Ljava/util/ArrayList;,Lh/h; k ()Ljava/util/ArrayList;,,,()Ljava/util/ArrayList;,False,0.0004901960784313725,0.007821860213657621,0.0003676470588235294,0.0003676470588235294
Lv0/n0; I (Lv0/w;)Z,Lv0/n0; I (Lv0/w;)Z,,,(Lv0/w;)Z,False,0.00024509803921568627,0.00782815736258172,0.0,0.0
Lv0/n0; J (Lv0/w;)Z,Lv0/n0; J (Lv0/w;)Z,,,(Lv0/w;)Z,False,0.00030637254901960784,0.007828172657635923,8.169934640522875e-05,9.191176470588235e-05
Lv0/w; equals (Ljava/lang/Object;)Z,Lv0/w; equals (Ljava/lang/Object;)Z,,,(Ljava/lang/Object;)Z,False,0.0003676470588235294,0.00784075179114524,6.127450980392157e-05,6.127450980392157e-05
Lv0/n0; Y (Lv0/w;)V,Lv0/n0; Y (Lv0/w;)V,,,(Lv0/w;)V,False,0.0003676470588235294,0.007815532486879677,0.00030637254901960784,0.00030637254901960784
Lv0/n0; A (Ljava/util/ArrayList; Ljava/util/ArrayList; I I)V,Lv0/n0; A (Ljava/util/ArrayList; Ljava/util/ArrayList; I I)V,,,(Ljava/util/ArrayList; Ljava/util/ArrayList; I I)V,False,0.002696078431372549,0.007815542667243065,0.011465657161156965,0.014169146825396826
Lv0/w; I (I I I I)V,Lv0/w; I (I I I I)V,,,(I I I I)V,False,0.0001838235294117647,0.00782182969299173,8.169934640522875e-05,9.191176470588235e-05
Lv0/n0; c (Lv0/w;)V,Lv0/n0; c (Lv0/w;)V,,,(Lv0/w;)V,False,0.0004901960784313725,0.007815532486879677,0.0005902777777777778,0.000704656862745098
