api_order,api_text,class_dot,method_name,matched_count,matched_signatures
159,android.provider.ContactsContract markAsContacted,android.provider.ContactsContract,markAsContacted,0,[]
160,android.provider.ContactsContract newSetOperation,android.provider.ContactsContract,newSetOperation,0,[]
161,android.provider.ContactsContract notifyDirectoryChange,android.provider.ContactsContract,notifyDirectoryChange,0,[]
162,android.provider.ContactsContract set,android.provider.ContactsContract,set,0,[]
163,android.provider.VoicemailContract buildSourceUri,android.provider.VoicemailContract,buildSourceUri,0,[]
164,android.speech.SpeechRecognizer cancel,android.speech.SpeechRecognizer,cancel,0,[]
165,android.speech.SpeechRecognizer setRecognitionListener,android.speech.SpeechRecognizer,setRecognitionListener,0,[]
166,android.speech.SpeechRecognizer startListening,android.speech.SpeechRecognizer,startListening,0,[]
167,android.speech.SpeechRecognizer stopListening,android.speech.SpeechRecognizer,stopListening,0,[]
168,android.telecom.TelecomManager isInCall,android.telecom.TelecomManager,isInCall,0,[]
169,android.telecom.TelecomManager showInCallScreen,android.telecom.TelecomManager,showInCallScreen,0,[]
170,android.telephony.cdma.CdmaCellLocation getBaseStationId,android.telephony.cdma.CdmaCellLocation,getBaseStationId,0,[]
171,android.telephony.cdma.CdmaCellLocation getBaseStationLatitude,android.telephony.cdma.CdmaCellLocation,getBaseStationLatitude,0,[]
172,android.telephony.cdma.CdmaCellLocation getBaseStationLongitude,android.telephony.cdma.CdmaCellLocation,getBaseStationLongitude,0,[]
173,android.telephony.cdma.CdmaCellLocation getNetworkId,android.telephony.cdma.CdmaCellLocation,getNetworkId,0,[]
174,android.telephony.cdma.CdmaCellLocation getSystemId,android.telephony.cdma.CdmaCellLocation,getSystemId,0,[]
175,android.telephony.gsm.GsmCellLocation getCid,android.telephony.gsm.GsmCellLocation,getCid,0,[]
176,android.telephony.gsm.GsmCellLocation getLac,android.telephony.gsm.GsmCellLocation,getLac,0,[]
177,android.telephony.gsm.SmsManager divideMessage,android.telephony.gsm.SmsManager,divideMessage,0,[]
178,android.telephony.gsm.SmsManager getDefault,android.telephony.gsm.SmsManager,getDefault,0,[]
179,android.telephony.gsm.SmsManager sendDataMessage,android.telephony.gsm.SmsManager,sendDataMessage,0,[]
180,android.telephony.gsm.SmsManager sendMultipartTextMessage,android.telephony.gsm.SmsManager,sendMultipartTextMessage,0,[]
181,android.telephony.gsm.SmsManager sendTextMessage,android.telephony.gsm.SmsManager,sendTextMessage,0,[]
182,android.telephony.PhoneNumberUtils isVoiceMailNumber,android.telephony.PhoneNumberUtils,isVoiceMailNumber,0,[]
183,android.telephony.PhoneStateListener onSignalStrengthsChanged,android.telephony.PhoneStateListener,onSignalStrengthsChanged,0,[]
184,android.telephony.SignalStrength getCdmaDbm,android.telephony.SignalStrength,getCdmaDbm,0,[]
185,android.telephony.SignalStrength getCdmaEcio,android.telephony.SignalStrength,getCdmaEcio,0,[]
186,android.telephony.SignalStrength getEvdoDbm,android.telephony.SignalStrength,getEvdoDbm,0,[]
187,android.telephony.SignalStrength getEvdoSnr,android.telephony.SignalStrength,getEvdoSnr,0,[]
188,android.telephony.SignalStrength getGsmSignalStrength,android.telephony.SignalStrength,getGsmSignalStrength,0,[]
189,android.telephony.SignalStrength isGsm,android.telephony.SignalStrength,isGsm,0,[]
190,android.telephony.SmsManager divideMessage,android.telephony.SmsManager,divideMessage,0,[]
191,android.telephony.SmsManager downloadMultimediaMessage,android.telephony.SmsManager,downloadMultimediaMessage,0,[]
192,android.telephony.SmsManager getDefault,android.telephony.SmsManager,getDefault,0,[]
193,android.telephony.SmsManager sendDataMessage,android.telephony.SmsManager,sendDataMessage,0,[]
194,android.telephony.SmsManager sendMultimediaMessage,android.telephony.SmsManager,sendMultimediaMessage,0,[]
195,android.telephony.SmsManager sendMultipartTextMessage,android.telephony.SmsManager,sendMultipartTextMessage,0,[]
196,android.telephony.SmsManager sendTextMessage,android.telephony.SmsManager,sendTextMessage,0,[]
197,android.telephony.SmsMessage createFromPdu,android.telephony.SmsMessage,createFromPdu,0,[]
198,android.telephony.SmsMessage getDisplayMessageBody,android.telephony.SmsMessage,getDisplayMessageBody,0,[]
199,android.telephony.SmsMessage getDisplayOriginatingAddress,android.telephony.SmsMessage,getDisplayOriginatingAddress,0,[]
200,android.telephony.SmsMessage getMessageBody,android.telephony.SmsMessage,getMessageBody,0,[]
201,android.telephony.SmsMessage getOriginatingAddress,android.telephony.SmsMessage,getOriginatingAddress,0,[]
202,android.telephony.SubscriptionManager addOnSubscriptionsChangedListener,android.telephony.SubscriptionManager,addOnSubscriptionsChangedListener,0,[]
203,android.telephony.SubscriptionManager getActiveSubscriptionInfo,android.telephony.SubscriptionManager,getActiveSubscriptionInfo,0,[]
204,android.telephony.SubscriptionManager getActiveSubscriptionInfoCount,android.telephony.SubscriptionManager,getActiveSubscriptionInfoCount,0,[]
205,android.telephony.SubscriptionManager getActiveSubscriptionInfoForSimSlotIndex,android.telephony.SubscriptionManager,getActiveSubscriptionInfoForSimSlotIndex,0,[]
206,android.telephony.SubscriptionManager getActiveSubscriptionInfoList,android.telephony.SubscriptionManager,getActiveSubscriptionInfoList,0,[]
207,android.telephony.TelephonyManager getAllCellInfo,android.telephony.TelephonyManager,getAllCellInfo,0,[]
208,android.telephony.TelephonyManager getCellLocation,android.telephony.TelephonyManager,getCellLocation,0,[]
209,android.telephony.TelephonyManager getDeviceId,android.telephony.TelephonyManager,getDeviceId,0,[]
210,android.telephony.TelephonyManager getDeviceSoftwareVersion,android.telephony.TelephonyManager,getDeviceSoftwareVersion,0,[]
211,android.telephony.TelephonyManager getGroupIdLevel1,android.telephony.TelephonyManager,getGroupIdLevel1,0,[]
212,android.telephony.TelephonyManager getLine1Number,android.telephony.TelephonyManager,getLine1Number,0,[]
213,android.telephony.TelephonyManager getNeighboringCellInfo,android.telephony.TelephonyManager,getNeighboringCellInfo,0,[]
214,android.telephony.TelephonyManager getSimSerialNumber,android.telephony.TelephonyManager,getSimSerialNumber,0,[]
215,android.telephony.TelephonyManager getSimState,android.telephony.TelephonyManager,getSimState,0,[]
216,android.telephony.TelephonyManager getSubscriberId,android.telephony.TelephonyManager,getSubscriberId,0,[]
217,android.telephony.TelephonyManager getVoiceMailAlphaTag,android.telephony.TelephonyManager,getVoiceMailAlphaTag,0,[]
218,android.telephony.TelephonyManager getVoiceMailNumber,android.telephony.TelephonyManager,getVoiceMailNumber,0,[]
219,android.telephony.TelephonyManager listen,android.telephony.TelephonyManager,listen,0,[]
220,android.text.Editable toString,android.text.Editable,toString,0,[]
221,android.text.format.Time set,android.text.format.Time,set,0,[]
222,android.text.format.Time Time,android.text.format.Time,Time,0,[]
223,android.text.format.Time toMillis,android.text.format.Time,toMillis,0,[]
224,android.util.Base64 decode,android.util.Base64,decode,0,[]
225,android.util.Base64 encode,android.util.Base64,encode,0,[]
226,android.view.animation.AlphaAnimation start,android.view.animation.AlphaAnimation,start,0,[]
227,android.view.inputmethod.InputMethodManager showInputMethodAndSubtypeEnabler,android.view.inputmethod.InputMethodManager,showInputMethodAndSubtypeEnabler,0,[]
228,android.view.ViewGroup addView,android.view.ViewGroup,addView,0,[]
229,android.view.ViewManager addView,android.view.ViewManager,addView,0,[]
